일자,종목코드,종목명,거래량,시가,고가,저가,종가
20230531,A005930,삼성전자,25666087,72400,72500,71000,71400
20230531,A000660,SK하이닉스,8166685,110000,110900,108500,108600
20230531,A207940,삼성바이오로직스,73829,777000,787000,776000,784000
20230531,A006400,삼성SDI,280762,712000,723000,712000,718000
20230531,A051910,LG화학,489828,702000,710000,692000,693000
20230531,A005380,현대차,879887,200500,203000,200000,200000
20230531,A000270,기아,1496401,85700,87200,85200,85900
20230531,A035420,NAVER,993582,201500,203000,199100,199500
20230531,A005490,POSCO홀딩스,783723,364000,368000,360000,360000
20230531,A003670,포스코퓨처엠,1343943,343000,350000,338500,350000
20230531,A068270,셀트리온,890549,172100,172400,169500,171300
20230531,A035720,카카오,1992398,56500,56900,56100,56200
20230531,A247540,에코프로비엠,1082099,239500,250000,239000,249000
20230531,A012330,현대모비스,318428,223500,229000,223000,223000
20230531,A028260,삼성물산,417909,110700,111800,110400,110600
20230531,A066570,LG전자,1976166,125200,125500,122300,122800
20230531,A105560,KB금융,2285762,48000,48600,47850,48000
20230531,A055550,신한지주,5709393,35050,35700,35050,35050
20230531,A096770,SK이노베이션,679946,189800,192700,189100,189100
20230531,A086520,에코프로,645663,546000,570000,546000,563000
20230531,A003550,LG,545415,87500,88200,85700,86000
20230531,A032830,삼성생명,802887,65800,67200,65800,66300
20230531,A034730,SK,405317,171900,173400,167800,167800
20230531,A086790,하나금융지주,1588919,41050,41700,41050,41450
20230531,A015760,한국전력,3124543,18510,19190,18510,19080
20230531,A091990,셀트리온헬스케어,2069063,73900,74400,73000,74000
20230531,A033780,KT&G,1155565,83200,83800,83100,83600
20230531,A352820,하이브,250839,272500,279000,270000,274000
20230531,A009150,삼성전기,585510,148000,149000,147100,147500
20230531,A017670,SK텔레콤,567700,49950,50300,49700,49700
20230531,A000810,삼성화재,165397,226000,230000,224500,225500
20230531,A034020,두산에너빌리티,4768120,16020,16080,15870,16080
20230531,A066970,엘앤에프,900909,262500,274500,262500,270000
20230531,A018260,삼성에스디에스,776577,125300,125400,123300,124300
20230531,A010130,고려아연,166181,474500,484500,474500,480500
20230531,A138040,메리츠금융지주,939698,44850,45550,44600,44950
20230531,A316140,우리금융지주,4050502,11920,12070,11890,11980
20230531,A011200,HMM,4370815,17510,17840,17490,17750
20230531,A030200,KT,6545416,31900,31950,31400,31550
20230531,A051900,LG생활건강,220423,535000,546000,523000,527000
20230531,A024110,기업은행,1796979,10250,10370,10210,10210
20230531,A003490,대한항공,989874,22100,22300,22050,22100
20230531,A010950,S-Oil,456269,72700,73900,72100,72200
20230531,A009830,한화솔루션,1999825,45550,45800,44750,44750
20230531,A011070,LG이노텍,257381,310500,313500,305000,307000
20230531,A011170,롯데케미칼,117797,167600,169400,166900,166900
20230531,A036570,엔씨소프트,647107,317000,324000,313000,321000
20230531,A009540,HD한국조선해양,253690,97000,98300,96200,96200
20230531,A302440,SK바이오사이언스,656848,81700,83100,80700,82900
20230531,A086280,현대글로비스,133524,170500,172200,168000,169000
20230531,A361610,SK아이이테크놀로지,398000,87800,90400,87800,88600
20230531,A090430,아모레퍼시픽,1090835,109800,110600,104100,104500
20230531,A326030,SK바이오팜,231954,73200,74400,72700,73500
20230531,A034220,LG디스플레이,2468151,16100,16310,15720,15720
20230531,A028050,삼성엔지니어링,1591515,28750,29100,28250,28300
