종목코드,순위
A000020,1550
A000040,1276
A000050,1274
A000070,793
A000080,1275
A000100,1910
A000120,1586
A000140,772
A000150,1611
A000180,1253
A000210,1582
A000220,452
A000230,1946
A000240,290
A000250,1939
A000270,860
A000300,684
A000320,1720
A000370,478
A000390,808
A000400,1272
A000430,1014
A000440,184
A000480,17
A000490,1264
A000500,1777
A000520,236
A000540,1271
A000590,1591
A000640,1706
A000650,496
A000660,1839
A000670,1728
A000680,1982
A000700,1012
A000720,1648
A000760,59
A000810,1687
A000850,879
A000860,841
A000880,1727
A000890,1270
A000910,152
A000950,852
A000970,910
A000990,1269
A001000,1268
A001020,147
A001040,1666
A001060,1953
A001070,1521
A001080,705
A001120,1991
A001130,1267
A001140,1522
A001200,1266
A001230,53
A001250,983
A001260,301
A001270,1622
A001290,1265
A001340,1022
A001360,1261
A001380,777
A001390,267
A001430,1762
A001440,1523
A001450,616
A001460,1600
A001470,12
A001500,524
A001510,1306
A001520,858
A001530,1778
A001540,1246
A001550,834
A001560,922
A001570,1979
A001620,1305
A001630,1619
A001680,1058
A001720,1741
A001740,1797
A001750,1303
A001780,49
A001790,189
A001800,1282
A001810,645
A001820,557
A001840,960
A001880,405
A001940,185
A002020,213
A002030,1792
A002100,1042
A002140,459
A002150,153
A002170,1277
A002200,1278
A002210,1279
A002220,188
A002230,354
A002240,1295
A002290,1203
A002310,1884
A002320,1714
A002350,484
A002360,885
A002380,1738
A002390,1308
A002410,108
A002450,655
A002460,1827
A002600,1283
A002620,181
A002630,1524
A002680,1525
A002690,223
A002700,1300
A002710,1959
A002720,558
A002760,741
A002780,851
A002790,1682
A002800,512
A002810,520
A002840,1299
A002880,1298
A002900,759
A002920,592
A002960,1297
A002990,1018
A003000,918
A003010,344
A003030,945
A003060,1296
A003070,377
A003080,573
A003090,1626
A003100,995
A003120,249
A003160,1857
A003200,300
A003220,1668
A003230,994
A003240,1294
A003280,1526
A003300,281
A003310,667
A003350,85
A003380,406
A003410,1774
A003460,829
A003470,982
A003480,594
A003490,1280
A003520,1680
A003530,599
A003540,1292
A003550,1618
A003560,1527
A003570,291
A003580,415
A003610,191
A003620,1528
A003650,1030
A003670,1992
A003690,1284
A003720,1783
A003780,1309
A003800,805
A003830,938
A003850,1634
A003920,1529
A003960,1191
A004000,1307
A004020,1696
A004060,1254
A004080,1262
A004090,302
A004100,754
A004140,646
A004150,591
A004170,1740
A004250,804
A004270,644
A004310,1806
A004360,172
A004370,1589
A004380,952
A004410,1273
A004430,187
A004440,84
A004450,433
A004490,1027
A004540,619
A004560,827
A004590,541
A004650,295
A004690,941
A004700,1263
A004710,339
A004720,1260
A004770,1130
A004780,1259
A004800,1594
A004830,458
A004840,1211
A004870,1210
A004890,1677
A004910,871
A004920,117
A004960,935
A004970,1218
A004980,1703
A004990,1598
A005010,366
A005070,289
A005090,1209
A005110,1207
A005160,1686
A005180,1713
A005250,1206
A005290,1745
A005300,1587
A005320,325
A005360,783
A005380,1035
A005390,248
A005420,986
A005430,685
A005440,250
A005490,1993
A005500,894
A005610,966
A005670,432
A005680,770
A005690,740
A005710,391
A005720,947
A005740,1205
A005750,585
A005800,303
A005810,1606
A005820,1667
A005830,1609
A005850,470
A005860,1221
A005870,1213
A005880,732
A005930,1691
A005940,1222
A005950,151
A005960,677
A005990,1773
A006040,1743
A006050,161
A006060,605
A006090,942
A006110,687
A006120,1603
A006140,168
A006200,670
A006220,14
A006260,1935
A006280,1026
A006340,838
A006360,1610
A006370,26
A006390,895
A006400,500
A006490,575
A006570,1758
A006580,1530
A006620,427
A006650,363
A006660,80
A006730,1233
A006740,1999
A006800,913
A006840,1240
A006880,87
A006890,1208
A006910,596
A006980,839
A007070,1219
A007110,531
A007120,1531
A007160,1604
A007210,1220
A007280,247
A007310,1659
A007330,1163
A007340,127
A007370,393
A007390,1025
A007460,1532
A007530,563
A007540,320
A007570,896
A007590,869
A007610,1519
A007660,1945
A007680,104
A007690,556
A007700,210
A007720,883
A007770,169
A007810,1896
A007820,379
A007860,767
A007980,776
A008040,1127
A008060,1655
A008110,465
A008250,375
A008260,112
A008350,270
A008370,350
A008420,593
A008490,1128
A008700,1736
A008730,1841
A008770,814
A008830,1005
A008870,692
A008930,1699
A008970,857
A009070,956
A009150,1775
A009160,464
A009180,608
A009190,1129
A009200,622
A009240,1601
A009270,157
A009290,1684
A009300,1204
A009320,752
A009410,1017
A009420,1916
A009440,569
A009450,1817
A009460,659
A009470,726
A009520,1943
A009540,1664
A009580,607
A009620,862
A009680,760
A009730,1533
A009770,1212
A009780,15
A009810,1214
A009830,1535
A009900,328
A009970,792
A010040,190
A010050,1250
A010060,791
A010100,1815
A010120,1936
A010130,1708
A010140,1536
A010170,651
A010240,653
A010280,817
A010470,180
A010580,1537
A010600,1975
A010620,937
A010640,1258
A010660,441
A010690,135
A010770,533
A010780,1632
A010820,314
A010950,1729
A010960,595
A011000,1746
A011040,1257
A011070,1024
A011150,562
A011170,1031
A011200,231
A011210,422
A011230,1538
A011280,471
A011300,1539
A011320,1004
A011330,1780
A011370,865
A011390,588
A011420,144
A011500,182
A011560,1256
A011690,1540
A011700,454
A011760,1899
A011780,761
A011790,693
A011810,192
A011930,1255
A012030,1245
A012160,884
A012170,1252
A012200,662
A012280,856
A012320,870
A012330,1034
A012340,1927
A012450,688
A012510,615
A012600,1541
A012610,534
A012630,408
A012690,493
A012700,417
A012750,991
A012790,374
A012800,580
A012860,113
A013030,969
A013120,1244
A013310,723
A013360,22
A013520,43
A013570,381
A013580,255
A013700,1251
A013720,1542
A013810,52
A013870,463
A013890,1249
A013990,233
A014130,1215
A014160,529
A014190,238
A014200,1543
A014280,16
A014440,540
A014470,815
A014530,1248
A014570,809
A014580,908
A014620,1247
A014680,351
A014710,535
A014790,604
A014820,1761
A014830,156
A014910,239
A014940,498
A014970,388
A014990,1544
A015230,1242
A015260,744
A015360,1184
A015540,1545
A015590,683
A015710,72
A015750,129
A015760,1237
A015860,494
A015890,341
A016090,669
A016100,1194
A016250,855
A016360,1688
A016380,552
A016450,1217
A016580,1216
A016590,1241
A016600,1281
A016610,1185
A016710,903
A016740,440
A016790,1
A016800,1469
A016880,532
A017000,58
A017040,980
A017180,618
A017370,1977
A017390,1623
A017480,436
A017510,198
A017550,473
A017650,1510
A017670,1712
A017800,1742
A017810,296
A017890,1867
A017900,487
A017940,1678
A017960,1882
A018000,46
A018120,849
A018250,957
A018260,1702
A018290,736
A018310,1856
A018470,1866
A018500,34
A018620,579
A018670,1709
A018680,1546
A018700,42
A018880,775
A019010,1509
A019170,1917
A019180,566
A019210,394
A019440,229
A019540,449
A019550,635
A019570,1549
A019590,1508
A019660,750
A019680,590
A019770,518
A019990,253
A020000,674
A020120,61
A020150,1650
A020560,1455
A020710,1502
A020760,126
A021050,578
A021080,1507
A021240,1595
A021320,1505
A021650,611
A021820,312
A021880,1504
