,종목코드,순위
0,A000020,164
1,A000040,109
2,A000050,1298
3,A000070,1395
4,A000080,1573
5,A000100,686
6,A000120,1337
7,A000140,640
8,A000150,1375
9,A000180,895
10,A000210,1693
11,A000220,1167
12,A000230,1425
13,A000240,1526
14,A000250,1610
15,A000270,1665
16,A000300,1853
17,A000320,1705
18,A000370,1179
19,A000390,1624
20,A000400,1333
21,A000430,1319
22,A000440,1380
23,A000480,1777
24,A000490,360
25,A000500,628
26,A000520,1592
27,A000540,1479
28,A000590,400
29,A000640,932
30,A000650,1116
31,A000660,45
32,A000670,409
33,A000680,117
34,A000700,1102
35,A000720,1491
36,A000760,1751
37,A000810,1160
38,A000850,1308
39,A000860,1877
40,A000880,327
41,A000890,1529
42,A000910,1960
43,A000950,1645
44,A000970,565
45,A000990,538
46,A001000,933
47,A001020,1434
48,A001040,1540
49,A001060,1746
50,A001070,1004
51,A001080,554
52,A001120,1197
53,A001130,1660
54,A001140,38
55,A001200,228
56,A001230,1609
57,A001250,627
58,A001260,596
59,A001270,1307
60,A001290,236
61,A001340,123
62,A001360,163
63,A001380,724
64,A001390,605
65,A001430,1101
66,A001440,1864
67,A001450,1857
68,A001460,1925
69,A001470,6
70,A001500,1041
71,A001510,128
72,A001520,1569
73,A001530,573
74,A001540,1117
75,A001550,816
76,A001560,1814
77,A001570,192
78,A001620,1976
79,A001630,1635
80,A001680,1611
81,A001720,1326
82,A001740,1164
83,A001750,1043
84,A001780,1600
85,A001790,1991
86,A001800,1800
87,A001810,1182
88,A001820,300
89,A001840,879
90,A001880,1455
91,A001940,1837
92,A002020,1484
93,A002030,1821
94,A002100,882
95,A002140,1901
96,A002150,877
97,A002170,1109
98,A002200,1893
99,A002210,1175
100,A002220,1418
101,A002230,1265
102,A002240,1594
103,A002290,353
104,A002310,1659
105,A002320,927
106,A002350,1541
107,A002360,1920
108,A002380,949
109,A002390,1621
110,A002410,535
111,A002450,1048
112,A002460,1249
113,A002600,1514
114,A002620,785
115,A002630,275
116,A002680,235
117,A002690,1099
118,A002700,1523
119,A002710,1697
120,A002720,1363
121,A002760,1607
122,A002780,183
123,A002790,1640
124,A002800,991
125,A002810,1387
126,A002840,1440
127,A002880,310
128,A002900,1103
129,A002920,1181
130,A002960,1505
131,A002990,1063
132,A003000,1013
133,A003010,1250
134,A003030,435
135,A003060,1021
136,A003070,1007
137,A003080,1074
138,A003090,1235
139,A003100,1710
140,A003120,541
141,A003160,432
142,A003200,1881
143,A003220,1663
144,A003230,1734
145,A003240,326
146,A003280,1512
147,A003300,492
148,A003310,1937
149,A003350,1462
150,A003380,897
151,A003410,1073
152,A003460,88
153,A003470,191
154,A003480,1728
155,A003490,1356
156,A003520,1852
157,A003530,1045
158,A003540,887
159,A003550,924
160,A003560,35
161,A003570,366
162,A003580,696
163,A003610,1405
164,A003620,1178
165,A003650,709
166,A003670,1778
167,A003690,1456
168,A003720,521
169,A003780,1789
170,A003800,992
171,A003830,630
172,A003850,444
173,A003920,1997
174,A003960,1285
175,A004000,1488
176,A004020,1757
177,A004060,1785
178,A004080,1602
179,A004090,1374
180,A004100,1587
181,A004140,1544
182,A004150,1049
183,A004170,1453
184,A004250,1201
185,A004270,934
186,A004310,1938
187,A004360,1953
188,A004370,532
189,A004380,1335
190,A004410,1554
191,A004430,1412
192,A004440,333
193,A004450,1388
194,A004490,1762
195,A004540,708
196,A004560,553
197,A004590,957
198,A004650,672
199,A004690,1950
200,A004700,1210
201,A004710,204
202,A004720,1047
203,A004770,241
