종목코드,순위
A000020,238
A000040,639
A000050,1524
A000070,1605
A000080,1654
A000100,659
A000120,776
A000140,1264
A000150,1201
A000180,1438
A000210,1681
A000220,1161
A000230,1543
A000240,1573
A000250,1808
A000270,1502
A000300,1761
A000320,1178
A000370,1414
A000390,1629
A000400,1330
A000430,1180
A000440,1600
A000480,1649
A000490,353
A000500,738
A000520,1533
A000540,1909
A000590,443
A000640,1001
A000650,1220
A000660,96
A000670,357
A000680,202
A000700,821
A000720,1558
A000760,959
A000810,1276
A000850,1204
A000860,1907
A000880,272
A000890,1406
A000910,1919
A000950,1664
A000970,568
A000990,367
A001000,1285
A001020,808
A001040,849
A001060,1824
A001070,899
A001080,586
A001120,1240
A001130,1595
A001140,109
A001200,27
A001230,1686
A001250,879
A001260,396
A001270,707
A001290,699
A001340,141
A001360,110
A001380,1234
A001390,1698
A001430,1115
A001440,1849
A001450,1842
A001460,1967
A001470,60
A001500,928
A001510,601
A001520,1874
A001530,27
A001540,887
A001550,969
A001560,1725
A001570,1979
A001620,1973
A001630,1612
A001680,1528
A001720,1212
A001740,872
A001750,1216
A001780,1284
A001790,1989
A001800,1685
A001810,1489
A001820,451
A001840,1192
A001880,1684
A001940,1774
A002020,1640
A002030,1530
A002100,685
A002140,1949
A002150,1059
A002170,796
A002200,1890
A002210,1167
A002220,296
A002230,1392
A002240,1691
A002290,861
A002310,1660
A002320,1012
A002350,1230
A002360,1902
A002380,922
A002390,1559
A002410,1366
A002450,1015
A002460,1186
A002600,1563
A002620,1292
A002630,1059
A002680,1114
A002690,1134
A002700,1947
A002710,1648
A002720,1279
A002760,1290
A002780,1436
A002790,1557
A002800,1135
A002810,1232
A002840,740
A002880,636
A002900,1130
A002920,1369
A002960,858
A002990,1288
A003000,1187
A003010,1209
A003030,299
A003060,1473
A003070,1166
A003080,305
A003090,1670
A003100,610
A003120,678
A003160,382
A003200,1858
A003220,1727
A003230,1854
A003240,446
A003280,1529
A003300,455
A003310,1846
A003350,1107
A003380,961
A003410,1397
A003460,297
A003470,204
A003480,1225
A003490,1602
A003520,1908
A003530,1410
A003540,980
A003550,1358
A003560,1059
A003570,481
A003580,1273
A003610,926
A003620,1798
A003650,655
A003670,1837
A003690,1314
A003720,1542
A003780,1496
A003800,1016
A003830,1457
A003850,488
A003920,1990
A003960,1333
A004000,1604
A004020,1792
A004060,1521
A004080,1322
A004090,1394
A004100,1918
A004140,1541
A004150,843
A004170,1583
A004250,492
A004270,803
A004310,1885
A004360,1925
A004370,1270
A004380,1059
A004410,1480
A004430,1422
A004440,27
A004450,975
A004490,1811
A004540,921
A004560,623
A004590,902
A004650,573
A004690,1933
A004700,930
A004710,303
A004720,1538
A004770,330
A004780,869
A004800,1569
A004830,867
A004840,936
A004870,550
A004890,1275
A004910,1722
A004920,1007
A004960,349
A004970,1315
A004980,1777
A004990,1181
A005010,1668
A005070,1781
A005090,1765
A005110,1661
A005160,1760
A005180,322
A005250,1509
A005290,111
A005300,1495
A005320,1693
A005360,260
A005380,1617
A005390,885
A005420,1794
A005430,1734
A005440,1549
A005490,1503
A005500,1147
A005610,482
A005670,442
A005680,539
A005690,1274
A005710,653
A005720,1316
